Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0402,2,4.7uF,C23733
"C2, C3, C7, C9",0402,4,100nF,C1525
"C4, C5, C6, CR2",0402,4,1uF,C52923
CR1,0402,1,10uF,C15525
D1,SOT-143,1,PRTR5V0U2X,C2827688
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D62, D63, D7, D8, D9",D_SOD-123,62,1N4148W,
F1,1206,1,500mA,C69688
MX1,SW_MX_1u,1,Esc,
MX10,SW_MX_1u,1,9,
MX11,SW_MX_1u,1,10,
MX12,SW_MX_1u,1,-,
MX13,SW_MX_1u,1,=,
MX14,SW_MX_1u,1,\,
MX15,SW_MX_1u,1,`,
MX16,SW_MX_1u,1,Full Backspace,
MX17,SW_MX_1.5u,1,Tab,
MX18,SW_MX_1u,1,Q,
MX19,SW_MX_1u,1,W,
MX2,SW_MX_1u,1,1,
MX20,SW_MX_1u,1,E,
MX21,SW_MX_1u,1,R,
MX22,SW_MX_1u,1,T,
MX23,SW_MX_1u,1,Y,
MX24,SW_MX_1u,1,U,
MX25,SW_MX_1u,1,I,
MX26,SW_MX_1u,1,O,
MX27,SW_MX_1u,1,P,
MX28,SW_MX_1u,1,[,
MX29,SW_MX_1u,1,],
MX3,SW_MX_1u,1,2,
MX30,SW_MX_1.5u,1,Backspace,
MX31,SW_MX_1.75u_STP_1.25,1,Stepped Caps,
MX32,SW_MX_1u,1,A,
MX33,SW_MX_1u,1,S,
MX34,SW_MX_1u,1,D,
MX35,SW_MX_1u,1,F,
MX36,SW_MX_1u,1,G,
MX37,SW_MX_1u,1,H,
MX38,SW_MX_1u,1,J,
MX39,SW_MX_1u,1,K,
MX4,SW_MX_1u,1,3,
MX40,SW_MX_1u,1,L,
MX41,SW_MX_1u,1,;,
MX42,SW_MX_1u,1,',
"MX43, MX48",SW_MX_1u,2,NUHS,
MX44,SW_MX_1u,1,ANSI Enter,
MX45,SW_MX_1.75u,1,Caps,
MX46,SW_MX_1u,1,ISO Enter,
MX47,SW_MX_1u,1,LShift,
MX49,SW_MX_1u,1,Z,
MX5,SW_MX_1u,1,4,
MX50,SW_MX_1u,1,X,
MX51,SW_MX_1u,1,C,
MX52,SW_MX_1u,1,V,
MX53,SW_MX_1u,1,B,
MX54,SW_MX_1u,1,N,
MX55,SW_MX_1u,1,M,
MX56,SW_MX_1u,1,",",
MX57,SW_MX_1u,1,.,
MX58,SW_MX_1u,1,/,
MX59,SW_MX_1.75u,1,RShift 1.75u,
MX6,SW_MX_1u,1,5,
MX60,SW_MX_1u,1,fn,
MX61,SW_MX_1.25u,1,LShift 1.25u,
MX62,SW_MX_1u,1,RShift 2.75u,
"MX63, MX67",SW_MX_1u,2,Alt,
"MX64, MX66",SW_MX_1.5u,2,Super,
MX65,SW_MX_1u,1,Spacebar,
MX68,SW_MX_1u,1,Off Center Spacebar,
MX7,SW_MX_1u,1,6,
MX8,SW_MX_1u,1,7,
MX9,SW_MX_1u,1,8,
QR1,SOT-23,1,2N7002,C8545
"R1, R2",0402,2,5k1,C25905
RR1,0402,1,33k,C25779
RR2,0402,1,10k,C25744
RR3,0402,1,100k,C25741
S1,STAB_MX_2u,1,2u Backspace,
S3,STAB_MX_ISO-ROT,1,ISO Enter,
SWR1,SW_SPST_TL3342,1,TS-1187A-B-A-B,C318884
U1,SOT-23,1,XC6206P332MR,C5446
U2,LQFP-48_7x7mm_P0.5mm,1,STM32F072CBT6,C81720
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
